Z,N,MM,,,
13,22,22.0195443,,,
13,23,23.00724435,,,
13,24,23.99994891,,,
13,25,24.99042811,,,
13,26,25.9868919,,,
13,27,26.98153853,,,
13,28,27.98191021,,,
13,29,28.98045651,,,
13,30,29.98296015,,,
13,31,30.98394522,,,
13,32,31.98808513,,,
13,33,32.99090981,,,
13,34,33.99670574,,,
13,35,34.99976475,,,
13,36,36.0063911,,,
13,37,37.0105313,,,
13,38,38.0174027,,,
13,39,39.0225454,,,
13,40,40.0300354,,,
13,41,41.0363864,,,
13,42,42.0438464,,,
13,43,43.0514775,,,
14,22,22.0357954,,,
14,23,23.0254454,,,
14,24,24.01153521,,,
14,25,25.00410911,,,
14,26,25.99233384,,,
14,27,26.98670481,,,
14,28,27.97692653,,,
14,29,28.97649466,,,
14,30,29.97377014,,,
14,31,30.97536319,,,
14,32,31.97415154,,,
14,33,32.97797697,,,
14,34,33.97857615,,,
14,35,34.98458341,,,
14,36,35.98669577,,,
14,37,36.99292189,,,
14,38,37.99552375,,,
14,39,39.00249197,,,
14,40,40.0058325,,,
14,41,41.013014,,,
14,42,42.0177854,,,
14,43,43.0248064,,,
14,44,44.0306164,,,
14,45,45.0399575,,,
15,24,24.0357754,,,
15,25,25.0211943,,,
15,26,26.0117821,,,
15,27,26.99922428,,,
15,28,27.99232661,,,
15,29,28.9818008,,,
15,30,29.97831375,,,
15,31,30.973762,,,
15,32,31.97390764,,,
15,33,32.97172571,,,
15,34,33.9736459,,,
15,35,34.97331412,,,
15,36,35.97826014,,,
15,37,36.97960741,,,
15,38,37.98425293,,,
15,39,38.98622798,,,
15,40,39.9913312,,,
15,41,40.99465486,,,
15,42,42.0010823,,,
15,43,43.005024,,,
15,44,44.0112154,,,
15,45,45.0164564,,,
15,46,46.0244675,,,
15,47,47.0313986,,,
16,26,26.0290764,,,
16,27,27.0182843,,,
16,28,28.0043717,,,
16,29,28.99661154,,,
16,30,29.98490703,,,
16,31,30.97955701,,,
16,32,31.97207117,,,
16,33,32.97145891,,,
16,34,33.967867,,,
16,35,34.96903231,,,
16,36,35.96708071,,,
16,37,36.97112551,,,
16,38,37.97116338,,,
16,39,38.97513454,,,
16,40,39.97548264,,,
16,41,40.97959354,,,
16,42,41.98106513,,,
16,43,42.98690765,,,
16,44,43.99011886,,,
16,45,44.9957274,,,
16,46,46.0000454,,,
16,47,47.0079554,,,
16,48,48.0137064,,,
16,49,49.0227672,,,
17,28,28.0295464,,,
17,29,29.0147843,,,
17,30,30.0047721,,,
17,31,30.99241454,,,
17,32,31.98568465,,,
17,33,32.97745199,,,
17,34,33.97376249,,,
17,35,34.96885268,,,
17,36,35.96830681,,,
17,37,36.9659026,,,
17,38,37.96801044,,,
17,39,38.96800822,,,
17,40,39.97041534,,,
17,41,40.97068574,,,
17,42,41.9732515,,,
17,43,42.973891,,,
17,44,43.977872,,,
17,45,44.9802911,,,
17,46,45.9851717,,,
17,47,46.9891643,,,
17,48,47.9956454,,,
17,49,49.0012364,,,
17,50,50.0090564,,,
17,51,51.0155475,,,
18,30,30.0230754,,,
18,31,31.0121222,,,
18,32,31.99763782,,,
18,33,32.98992555,,,
18,34,33.98027009,,,
18,35,34.9752576,,,
18,36,35.96754511,,,
18,37,36.96677633,,,
18,38,37.96273211,,,
18,39,38.96431305,,,
18,40,39.96238312,,,
18,41,40.96450057,,,
18,42,41.96304576,,,
18,43,42.96563616,,,
18,44,43.96492382,,,
18,45,44.96803974,,,
18,46,45.96808344,,,
18,47,46.97293596,,,
18,48,47.9759132,,,
18,49,48.9819043,,,
18,50,49.9861354,,,
18,51,50.9937064,,,
18,52,51.9989664,,,
18,53,53.0072975,,,
19,32,32.0226554,,,
19,33,33.0075621,,,
19,34,33.9986932,,,
19,35,34.98800542,,,
19,36,35.98130201,,,
19,37,36.97337589,,,
19,38,37.96908112,,,
19,39,38.96370649,,,
19,40,39.96399817,,,
19,41,40.96182526,,,
19,42,41.96240231,,,
19,43,42.9607347,,,
19,44,43.96158699,,,
19,45,44.9606915,,,
19,46,45.9619816,,,
19,47,46.96166162,,,
19,48,47.9653412,,,
19,49,48.96821076,,,
19,50,49.97238008,,,
19,51,50.97582814,,,
19,52,51.9822443,,,
19,53,52.9874654,,,
19,54,53.9946364,,,
19,55,55.0007675,,,
19,56,56.0085186,,,
20,34,34.0148732,,,
20,35,35.0051421,,,
20,36,35.99307443,,,
20,37,36.98589786,,,
20,38,37.97631922,,,
20,39,38.97071082,,,
20,40,39.96259086,,,
20,41,40.96227792,,,
20,42,41.95861783,,,
20,43,42.95876644,,,
20,44,43.95548156,,,
20,45,44.95618635,,,
20,46,45.95368902,,,
20,47,46.95454242,,,
20,48,47.95252276,,,
20,49,48.95566274,,,
20,50,49.95749922,,,
20,51,50.96098924,,,
20,52,51.96321764,,,
20,53,52.9694543,,,
20,54,53.9734054,,,
20,55,54.9803054,,,
20,56,55.9850864,,,
20,57,56.9926264,,,
20,58,57.9979475,,,
21,36,36.0164832,,,
21,37,37.0037432,,,
21,38,37.9951221,,,
21,39,38.98478526,,,
21,40,39.97796733,,,
21,41,40.96925111,,,
21,42,41.96551653,,,
21,43,42.96115052,,,
21,44,43.95940292,,,
21,45,44.95590829,,,
21,46,45.95516827,,,
21,47,46.95240372,,,
21,48,47.95222365,,,
21,49,48.95001463,,,
21,50,49.95217616,,,
21,51,50.95359221,,,
21,52,51.9568815,,,
21,53,52.9590929,,,
21,54,53.9639339,,,
21,55,54.967825,,,
21,56,55.9734543,,,
21,57,56.9777754,,,
21,58,57.9840364,,,
21,59,58.9889464,,,
21,60,59.9956575,,,
21,61,61.0010086,,,
22,38,38.0114532,,,
22,39,39.0023622,,,
22,40,39.9905017,,,
22,41,40.9831483,,,
22,42,41.97304903,,,
22,43,42.96852258,,,
22,44,43.95968996,,,
22,45,44.95812199,,,
22,46,45.95262772,,,
22,47,46.95175879,,,
22,48,47.94794198,,,
22,49,48.94786568,,,
22,50,49.94478689,,,
22,51,50.94661066,,,
22,52,51.94689308,,,
22,53,52.9497311,,,
22,54,53.9510513,,,
22,55,54.9552717,,,
22,56,55.9579115,,,
22,57,56.9636427,,,
22,58,57.9666043,,,
22,59,58.9724743,,,
22,60,59.9760354,,,
22,61,60.9824564,,,
22,62,61.9865175,,,
22,63,62.9937575,,,
23,40,40.0127643,,,
23,41,41.0002132,,,
23,42,41.9918232,,,
23,43,42.98076646,,,
23,44,43.974112,,,
23,45,44.96577489,,,
23,46,45.96019878,,,
23,47,46.95490491,,,
23,48,47.95225221,,,
23,49,48.94851181,,,
23,50,49.94715602,,,
23,51,50.94395705,,,
23,52,51.94477302,,,
23,53,52.94433673,,,
23,54,53.94643916,,,
23,55,54.947241,,,
23,56,55.9504819,,,
23,57,56.9525224,,,
23,58,57.9567214,,,
23,59,58.9593917,,,
23,60,59.9643124,,,
23,61,60.9672596,,,
23,62,61.9726532,,,
23,63,62.9763943,,,
23,64,63.9826443,,,
23,65,64.9875054,,,
23,66,65.9939864,,,
24,42,42.0067043,,,
24,43,42.9975343,,,
24,44,43.9853632,,,
24,45,44.97905038,,,
24,46,45.96835921,,,
24,47,46.96289748,,,
24,48,47.95402918,,,
24,49,48.95133333,,,
24,50,49.94604184,,,
24,51,50.94476503,,,
24,52,51.94050624,,,
24,53,52.94064816,,,
24,54,53.93887917,,,
24,55,54.94083844,,,
24,56,55.94065312,,,
24,57,56.94361302,,,
24,58,57.9443522,,,
24,59,58.9485926,,,
24,60,59.9500823,,,
24,61,60.9544214,,,
24,62,61.9561016,,,
24,63,62.9616549,,,
24,64,63.9640832,,,
24,65,64.9699632,,,
24,66,65.9736654,,,
24,67,66.9801654,,,
24,68,67.9840375,,,
25,44,44.0071554,,,
25,45,44.9944943,,,
25,46,45.9860943,,,
25,47,46.97577534,,,
25,48,47.9685218,,,
25,49,48.95959511,,,
25,50,49.95423779,,,
25,51,50.94820848,,,
25,52,51.94556392,,,
25,53,52.9412889,,,
25,54,53.94035761,,,
25,55,54.93804391,,,
25,56,55.93890369,,,
25,57,56.93828612,,,
25,58,57.94006663,,,
25,59,58.94039113,,,
25,60,59.94313663,,,
25,61,60.94445253,,,
25,62,61.9479516,,,
25,63,62.94966474,,,
25,64,63.95384944,,,
25,65,64.95601984,,,
25,66,65.96054712,,,
25,67,66.9642443,,,
25,68,67.9696254,,,
25,69,68.9736664,,,
25,70,69.9793775,,,
25,71,70.9836875,,,
26,45,45.0144243,,,
26,46,46.0006354,,,
26,47,46.9918554,,,
26,48,47.9802343,,,
26,49,48.97342926,,,
26,50,49.96297564,,,
26,51,50.9568411,,,
26,52,51.94811317,,,
26,53,52.94530642,,,
26,54,53.939609,,,
26,55,54.938292,,,
26,56,55.93493633,,,
26,57,56.93539284,,,
26,58,57.93327444,,,
26,59,58.93487435,,,
26,60,59.93407114,,,
26,61,60.93674623,,,
26,62,61.93679183,,,
26,63,62.94027275,,,
26,64,63.94098785,,,
26,65,64.94501157,,,
26,66,65.94625004,,,
26,67,66.9505423,,,
26,68,67.9529539,,,
26,69,68.9580743,,,
26,70,69.9610254,,,
26,71,70.9667264,,,
26,72,71.9698375,,,
26,73,72.9757275,,,
26,74,73.9793586,,,
27,47,47.0105786,,,
27,48,48.0009386,,,
27,49,48.9889175,,,
27,50,49.9809164,,,
27,51,50.97064752,,,
27,52,51.9635121,,,
27,53,52.95420412,,,
27,54,53.94845988,,,
27,55,54.94199721,,,
27,56,55.93983881,,,
27,57,56.93629058,,,
27,58,57.93575211,,,
27,59,58.9331943,,,
27,60,59.93381631,,,
27,61,60.93247663,,,
27,62,61.9340592,,,
27,63,62.9336002,,,
27,64,63.93581121,,,
27,65,64.93646212,,,
27,66,65.93944315,,,
27,67,66.94060967,,,
27,68,67.9442616,,,
27,69,68.946142,,,
27,70,69.9496332,,,
27,71,70.952375,,,
27,72,71.9572943,,,
27,73,72.9603954,,,
27,74,73.9651564,,,
27,75,74.9687675,,,
27,76,75.9741386,,,
28,48,48.0176954,,,
28,49,49.0077086,,,
28,50,49.9947486,,,
28,51,50.9861186,,,
28,52,51.9748075,,,
28,53,52.96819027,,,
28,54,53.95789254,,,
28,55,54.95133064,,,
28,56,55.94212856,,,
28,57,56.93979219,,,
28,58,57.93534242,,,
28,59,58.93434621,,,
28,60,59.93078589,,,
28,61,60.93105558,,,
28,62,61.92834538,,,
28,63,62.92966964,,,
28,64,63.92796683,,,
28,65,64.93008518,,,
28,66,65.92913932,,,
28,67,66.93156943,,,
28,68,67.93186883,,,
28,69,68.93561034,,,
28,70,69.93643132,,,
28,71,70.94051902,,,
28,72,71.94178592,,,
28,73,72.94620673,,,
28,74,73.9479843,,,
28,75,74.9525032,,,
28,76,75.9553354,,,
28,77,76.9605554,,,
28,78,77.9633686,,,
28,79,78.9702586,,,
29,52,51.9967186,,,
29,53,52.9845986,,,
29,54,53.9766654,,,
29,55,54.9660417,,,
29,56,55.9589521,,,
29,57,56.94921251,,,
29,58,57.94453306,,,
29,59,58.93949749,,,
29,60,59.93736452,,,
29,61,60.93345761,,,
29,62,61.93259542,,,
29,63,62.92959773,,,
29,64,63.92976435,,,
29,65,64.92778971,,,
29,66,65.92886904,,,
29,67,66.92773031,,,
29,68,67.92961092,,,
29,69,68.92942932,,,
29,70,69.93239211,,,
29,71,70.93267682,,,
29,72,71.93582032,,,
29,73,72.93667442,,,
29,74,73.93987497,,,
29,75,74.94152263,,,
29,76,75.94527507,,,
29,77,76.9479216,,,
29,78,77.9522354,,,
29,79,78.9550243,,,
29,80,79.9608964,,,
29,81,80.9658786,,,
29,82,81.9724486,,,
30,54,53.9920475,,,
30,55,54.9839875,,,
30,56,55.9725454,,,
30,57,56.9650622,,,
30,58,57.95459154,,,
30,59,58.94931267,,,
30,60,59.94184211,,,
30,61,60.93950717,,,
30,62,61.93433398,,,
30,63,62.93321152,,,
30,64,63.92914202,,,
30,65,64.92924078,,,
30,66,65.92603382,,,
30,67,66.92712776,,,
30,68,67.92484456,,,
30,69,68.92655071,,,
30,70,69.92531922,,,
30,71,70.92771963,,,
30,72,71.92684282,,,
30,73,72.92958262,,,
30,74,73.92940733,,,
30,75,74.93284022,,,
30,76,75.93311502,,,
30,77,76.93688722,,,
30,78,77.93828922,,,
30,79,78.94263812,,,
30,80,79.94455293,,,
30,81,80.95040265,,,
30,82,81.9542632,,,
30,83,82.9605654,,,
30,84,83.9652164,,,
30,85,84.9722675,,,
31,56,55.9953664,,,
31,57,56.9832032,,,
31,58,57.9747821,,,
31,59,58.9635318,,,
31,60,59.9572921,,,
31,61,60.94939941,,,
31,62,61.94419026,,,
31,63,62.93929421,,,
31,64,63.93684042,,,
31,65,64.9327346,,,
31,66,65.93158943,,,
31,67,66.92820251,,,
31,68,67.92798052,,,
31,69,68.92557351,,,
31,70,69.92602191,,,
31,71,70.92470259,,,
31,72,71.92636748,,,
31,73,72.92517472,,,
31,74,73.92694573,,,
31,75,74.92650023,,,
31,76,75.92882762,,,
31,77,76.92915433,,,
31,78,77.93160882,,,
31,79,78.93285232,,,
31,80,79.93642083,,,
31,81,80.93813384,,,
31,82,81.94317653,,,
31,83,82.94712033,,,
31,84,83.9524643,,,
31,85,84.9569932,,,
31,86,85.9630175,,,
31,87,86.9682486,,,
32,58,57.9917243,,,
32,59,58.9824932,,,
32,60,59.9703621,,,
32,61,60.9637932,,,
32,62,61.9550215,,,
32,63,62.9496284,,,
32,64,63.94168994,,,
32,65,64.93936812,,,
32,66,65.93386213,,,
32,67,66.93273395,,,
32,68,67.92809532,,,
32,69,68.92796451,,,
32,70,69.92424876,,,
32,71,70.92495234,,,
32,72,71.92207583,,,
32,73,72.92345896,,,
32,74,73.92117776,,,
32,75,74.92285837,,,
32,76,75.92140273,,,
32,77,76.92354984,,,
32,78,77.92285294,,,
32,79,78.9253604,,,
32,80,79.92535082,,,
32,81,80.92883292,,,
32,82,81.92977402,,,
32,83,82.93453913,,,
32,84,83.93757513,,,
32,85,84.94296974,,,
32,86,85.9465832,,,
32,87,86.9526843,,,
32,88,87.9569154,,,
32,89,88.9637964,,,
32,90,89.9686375,,,
33,60,59.9938843,,,
33,61,60.9811232,,,
33,62,61.9736132,,,
33,63,62.9639021,,,
33,64,63.9574333,,,
33,65,64.94961191,,,
33,66,65.94414886,,,
33,67,66.93925111,,,
33,68,67.93677412,,,
33,69,68.93224634,,,
33,70,69.93092654,,,
33,71,70.92711385,,,
33,72,71.92675234,,,
33,73,72.92382914,,,
33,74,73.92392862,,,
33,75,74.92159458,,,
33,76,75.92239203,,,
33,77,76.92064762,,,
33,78,77.92182811,,,
33,79,78.92094846,,,
33,80,79.92247464,,,
33,81,80.92213233,,,
33,82,81.92474125,,,
33,83,82.92520693,,,
33,84,83.92930333,,,
33,85,84.93216373,,,
33,86,85.93670154,,,
33,87,86.94029173,,,
33,88,87.9455521,,,
33,89,88.9497632,,,
33,90,89.9556364,,,
33,91,90.9603964,,,
33,92,91.9667475,,,
34,64,63.9710954,,,
34,65,64.9644064,,,
34,66,65.9555932,,,
34,67,66.94999472,,,
34,68,67.94182525,,,
34,69,68.93941482,,,
34,70,69.93351552,,,
34,71,70.93220943,,,
34,72,71.92714052,,,
34,73,72.92675498,,,
34,74,73.92247593,,,
34,75,74.92252287,,,
34,76,75.9192137,,,
34,77,76.91991415,,,
34,78,77.91730928,,,
34,79,78.91849929,,,
34,80,79.91652181,,,
34,81,80.91799301,,,
34,82,81.91669952,,,
34,83,82.91911864,,,
34,84,83.91846682,,,
34,85,84.92226083,,,
34,86,85.92431173,,,
34,87,86.92868862,,,
34,88,87.93141754,,,
34,89,88.93666914,,,
34,90,89.9401035,,,
34,91,90.9459654,,,
34,92,91.9498464,,,
34,93,92.9562986,,,
34,94,93.9604986,,,
34,95,94.9673086,,,
35,67,66.9646554,,,
35,68,67.9587333,,,
35,69,68.9504974,,,
35,70,69.94479216,,,
35,71,70.93934226,,,
35,72,71.93658867,,,
35,73,72.93167158,,,
35,74,73.92991026,,,
35,75,74.92581055,,,
35,76,75.9245421,,,
35,77,76.92137923,,,
35,78,77.92114594,,,
35,79,78.91833761,,,
35,80,79.91852981,,,
35,81,80.91628971,,,
35,82,81.91680321,,,
35,83,82.91517564,,,
35,84,83.91649628,,,
35,85,84.91564583,,,
35,86,85.91880543,,,
35,87,86.92067403,,,
35,88,87.92408333,,,
35,89,88.92670464,,,
35,90,89.93129284,,,
35,91,90.93439864,,,
35,92,91.93963167,,,
35,93,92.9431348,,,
35,94,93.9489043,,,
35,95,94.9530121,,,
35,96,95.9590332,,,
35,97,96.9634443,,,
35,98,97.9694643,,,
36,69,68.9651843,,,
36,70,69.9560421,,,
36,71,70.9502714,,,
36,72,71.94209249,,,
36,73,72.93928927,,,
36,74,73.93308402,,,
36,75,74.93094579,,,
36,76,75.92591034,,,
36,77,76.92467002,,,
36,78,77.92036495,,,
36,79,78.92008294,,,
36,80,79.91637809,,,
36,81,80.91659122,,,
36,82,81.91348274,,,
36,83,82.91412716,,,
36,84,83.91149773,,,
36,85,84.91252732,,,
36,86,85.91061063,,,
36,87,86.91335476,,,
36,88,87.91444793,,,
36,89,88.91783552,,,
36,90,89.91952792,,,
36,91,90.92380632,,,
36,92,91.92617313,,,
36,93,92.93114723,,,
36,94,93.93414013,,,
36,95,94.9397112,,,
36,96,95.94301722,,,
36,97,96.9490914,,,
36,98,97.9524332,,,
36,99,98.9583954,,,
36,100,99.9623743,,,
36,101,100.9687354,,,
37,71,70.9653254,,,
37,72,71.9590854,,,
37,73,72.9505311,,,
37,74,73.94426593,,,
37,75,74.93857321,,,
37,76,75.93507301,,,
37,77,76.93040161,,,
37,78,77.92814194,,,
37,79,78.92398992,,,
37,80,79.92251642,,,
37,81,80.91899395,,,
37,82,81.91820903,,,
37,83,82.91511423,,,
37,84,83.91437522,,,
37,85,84.91178974,,,
37,86,85.91116743,,,
37,87,86.90918053,,,
37,88,87.91131559,,,
37,89,88.91227836,,,
37,90,89.91479857,,,
37,91,90.91653728,,,
37,92,91.91972847,,,
37,93,92.92203938,,,
37,94,93.92639482,,,
37,95,94.92926022,,,
37,96,95.93413344,,,
37,97,96.93717712,,,
37,98,97.94168694,,,
37,99,98.9450312,,,
37,100,99.9500321,,,
37,101,100.9540423,,,
37,102,101.9595232,,,
37,103,102.9639243,,,
38,73,72.9657043,,,
38,74,73.9561711,,,
38,75,74.9499524,,,
38,76,75.94176337,,,
38,77,76.93794559,,,
38,78,77.93218008,,,
38,79,78.92970779,,,
38,80,79.92451754,,,
38,81,80.92321143,,,
38,82,81.91839996,,,
38,83,82.91755447,,,
38,84,83.91341911,,,
38,85,84.91293203,,,
38,86,85.90926061,,,
38,87,86.90887751,,,
38,88,87.90561251,,,
38,89,88.90745111,,,
38,90,89.90773003,,,
38,91,90.91019546,,,
38,92,91.91103824,,,
38,93,92.91402428,,,
38,94,93.91535562,,,
38,95,94.91935296,,,
38,96,95.92170669,,,
38,97,96.92637404,,,
38,98,97.92868884,,,
38,99,98.93289074,,,
38,100,99.9357701,,,
38,101,100.9403529,,,
38,102,101.9437918,,,
38,103,102.9490921,,,
38,104,103.9526532,,,
38,105,104.9585554,,,
38,106,105.9626564,,,
38,107,106.9689775,,,
39,76,75.9585654,,,
39,77,76.94978165,,,
39,78,77.9436143,,,
39,79,78.9373548,,,
39,80,79.93435617,,,
39,81,80.92945566,,,
39,82,81.92693146,,,
39,83,82.9224852,,,
39,84,83.92067215,,,
39,85,84.9164332,,,
39,86,85.91488615,,,
39,87,86.91087612,,,
39,88,87.90950162,,,
39,89,88.90584032,,,
39,90,89.90714392,,,
39,91,90.90729743,,,
39,92,91.9089452,,,
39,93,92.90957811,,,
39,94,93.91159067,,,
39,95,94.91281617,,,
39,96,95.91589687,,,
39,97,96.91827418,,,
39,98,97.92238219,,,
39,99,98.92414807,,,
39,100,99.92771512,,,
39,101,100.9301478,,,
39,102,101.9343277,,,
39,103,102.9372431,,,
39,104,103.9419643,,,
39,105,104.9454454,,,
39,106,105.9505654,,,
39,107,106.9545254,,,
39,108,107.9599664,,,
39,109,108.9643675,,,
40,78,77.9556654,,,
40,79,78.9494843,,,
40,80,79.940416,,,
40,81,80.9373118,,,
40,82,81.9313522,,,
40,83,82.92924217,,,
40,84,83.92332696,,,
40,85,84.92144447,,,
40,86,85.91629724,,,
40,87,86.91481805,,,
40,88,87.91022136,,,
40,89,88.90888144,,,
40,90,89.90469772,,,
40,91,90.90563962,,,
40,92,91.90503472,,,
40,93,92.90646992,,,
40,94,93.90631082,,,
40,95,94.90803852,,,
40,96,95.90827142,,,
40,97,96.91095122,,,
40,98,97.91272899,,,
40,99,98.91666711,,,
40,100,99.91800069,,,
40,101,100.9214481,,,
40,102,101.923141,,,
40,103,102.9271911,,,
40,104,103.9294361,,,
40,105,104.9340081,,,
40,106,105.9367621,,,
40,107,106.9417432,,,
40,108,107.9448743,,,
40,109,108.9504154,,,
40,110,109.9539664,,,
40,111,110.9596875,,,
40,112,111.9637075,,,
41,81,80.9496043,,,
41,82,81.9439632,,,
41,83,82.9372932,,,
41,84,83.9344932,,,
41,85,84.92884584,,,
41,86,85.92578286,,,
41,87,86.92069377,,,
41,88,87.91822261,,,
41,89,88.91344525,,,
41,90,89.91125844,,,
41,91,90.90698974,,,
41,92,91.90718813,,,
41,93,92.90637302,,,
41,94,93.90727882,,,
41,95,94.90683241,,,
41,96,95.90809734,,,
41,97,96.90809592,,,
41,98,97.91032656,,,
41,99,98.91161313,,,
41,100,99.91432769,,,
41,101,100.9153103,,,
41,102,101.9180772,,,
41,103,102.9194572,,,
41,104,103.9228925,,,
41,105,104.9249465,,,
41,106,105.9289317,,,
41,107,106.9315938,,,
41,108,107.9360749,,,
41,109,108.9392256,,,
41,110,109.9440321,,,
41,111,110.9475332,,,
41,112,111.9524732,,,
41,113,112.9565143,,,
41,114,113.9620154,,,
41,115,114.9663454,,,
42,83,82.9498843,,,
42,84,83.9414943,,,
42,85,84.93826117,,,
42,86,85.93117484,,,
42,87,86.92819623,,,
42,88,87.92196784,,,
42,89,88.91946824,,,
42,90,89.91393094,,,
42,91,90.91174537,,,
42,92,91.90680797,,,
42,93,92.90680959,,,
42,94,93.9050849,,,
42,95,94.90583877,,,
42,96,95.90467612,,,
42,97,96.90601812,,,
42,98,97.90540482,,,
42,99,98.90770852,,,
42,100,99.90747181,,,
42,101,100.9103414,,,
42,102,101.9102835,,,
42,103,102.9130791,,,
42,104,103.9137345,,,
42,105,104.9169691,,,
42,106,105.9182591,,,
42,107,106.9221061,,,
42,108,107.9240331,,,
42,109,108.9284241,,,
42,110,109.9307043,,,
42,111,110.9356541,,,
42,112,111.9383121,,,
42,113,112.9433532,,,
42,114,113.9465332,,,
42,115,114.9519643,,,
42,116,115.9554554,,,
42,117,116.9611754,,,
43,85,84.9505843,,,
43,86,85.9449332,,,
43,87,86.93806725,,,
43,88,87.9337816,,,
43,89,88.92764874,,,
43,90,89.92407391,,,
43,91,90.91842543,,,
43,92,91.91526983,,,
43,93,92.91024601,,,
43,94,93.90965364,,,
